,ID,Titles,Date,Author,Technique,Height(cm),Width(cm),Origin,Support
2572,P001676,Eneida,1636 - 1638,"Rubens, Pedro Pablo",Óleo,"182,5","99,5","Colección Real (Torre de La Parada, El Pardo-Madrid, Cuarto bajo pieza cuarta, 1703-1711, s.n.; Torre de la Parada, Pieza sexta, 1747, nº79; Palacio Nuevo, Antecámara del infante don Gabriel, 1772, nº 1005; Palacio Nuevo, Cuarto del infante don Antonio-antecámara, 1794, nº 1005; Palacio Nuevo, Habitación del infante don Carlos-sexta pieza, 1814-1818, nº 1005; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Salón 1º Escuela Holandesa, 1834, nº 192)",Lienzo
2573,P001677,La Fortuna,1636 - 1638,"Rubens, Pedro Pablo",Óleo,180,69,"Colección Real (Torre de la Parada, El Pardo-Madrid, cuarto bajo-pieza tercera, 1703-1711, s.n.; Palacio Real Nuevo, Madrid, antecámara del señor infante don Luis, 1772, nº 1006; Palacio Real Nuevo, Madrid, cuarto de la reina-antecámara, 1794, nº 1006; Palacio Real, Madrid, antecámara de la reina, 1814-1818, nº 1006).",Lienzo
2574,P001679,El rapto de Ganimedes,1636 - 1638,"Rubens, Pedro Pablo",Óleo,181,"87,3","Colección Real (Torre de la Parada, El Pardo-Madrid, Pieza sexta, 1701, s.n.; Palacio Nuevo, Madrid, Antecámara de la princesa, 1772, nº 1007; Palacio Nuevo, Cuarto de la Reina-antecámara, 1794, nº 1007; Palacio Nuevo, Antecámara de la Reina, 1814-1818, nº 1007; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Salón 1º Escuela Holandesa, 1834, nº 197)",Lienzo
2575,P001678,Fastos,1636 - 1638,"Rubens, Pedro Pablo",Óleo,"182,5",87,"Colección Real (Torre de la Parada, El Pardo-Madrid, Sexta pieza, s.n.; Torre de la Parada, Quarta pieza, 1747, nº 44; Palacio Nuevo, Madrid, Antecámara de la princesa, 1772, nº 1004; Palacio Nuevo, Cuarto de la reina-antecámara, 1794, nº 1004; Palacio Nuevo, Antecámara de la reina, 1814-1818, nº 1004; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Salón 2º Escuela Flamenca, 1834, nº 254).",Lienzo
2576,P001680,"Dos pinturas iguales [...] la una de Demócrito y la otra de Heráclito, de mano de Rubens. ",1636 - 1638,"Rubens, Pedro Pablo",Óleo,183,"64,5","Colección Real (Torre de la Parada, El Pardo-Madrid, Pieza quinta, 1701, s.n.; Palacio de El Pardo, Madrid, Presupuesto 4º Pinturas que se sacaron de la Torre de la Parada para renovarlas y colocarlas en el Palacio del Pardo, Pieza terzera, 1747, s.n.; Palacio de Aranjuez, Madrid, Fachada de mediodia, Otra pieza, 1794, nº 503; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Salón 1º Escuela Holandesa, 1834, nº71)",Lienzo
2577,P001681,La Fortuna,1636 - 1638,"Rubens, Pedro Pablo",Óleo,"181,5",68,"Colección Real (Torre de la Parada, El Pardo-Madrid, Pieza quarta, 1701, s.n.; Torre de la Parada, Pieza octava de la Reina, 1747, nº 96; Palacio Nuevo, Madrid, Antecámara del señor infante don Luis, 1772, nº 1003; Palacio Nuevo, Cuarto de la Reina-antecámara, 1794, nº 1003; Palacio Real, Antecámara de la Reina, 1814-1818, nº 1003; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Salón 1º Escuela Holandesa, 1834, nº 75)",Lienzo
2578,P001682,"Dos pinturas iguales [...] la una de Demócrito y la otra de Heráclito, de mano de Rubens. ",1636 - 1638,"Rubens, Pedro Pablo",Óleo,"180,5",66,"Colección Real (Torre de la Parada, El Pardo-Madrid, Pieza quinta, 1701, s.n.; Palacio de El Pardo, Presupuesto 4º Pinturas que se sacaron de la Torre de la Parada para renovarlas y colocarlas en el Palacio del Pardo, Pieza terzera, 1747, s.n.; Palacio del Buen Retiro, Madrid, Sala de conversación, 1772, s.n.; [¿]Palacio del Buen Retiro, 1794, nº238; Palacio Nuevo, Madrid, Pieza de entrada para la habitación de la Reina de Etruria que esta de blanco, 1814-1818, s.n[?]; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Salón 1º Escuela Holandesa, 1834, nº166)",Lienzo
2579,P001713,Metamorfosis,1636 - 1638,"Jordaens, Jacques",Óleo,181,300,"Colección Real (Torre de la Parada, El Pardo-Madrid, cuarto bajo-pieza cuarta, 1703-1711, s.n.; Palacio Real Nuevo, Madrid, cuarto del infante don Javier, 1772, nº 999; Palacio Real Nuevo, Madrid, antecámara, 1794, nº 999; Palacio Real, Madrid, antecámara, 1814-1818, nº 999)",Lienzo
2580,P001714,Metamorfosis,1636 - 1638,"Thulden, Theodoor van",Óleo,193,207,"Colección Real (Torre de la Parada, El Pardo-Madrid, cuarto bajo-pieza primera, 1703-1711, s.n.; Palacio Real Nuevo, Madrid, segunda alcoba, 1747, nº 335; Palacio del Buen Retiro, Madrid, cuarto del infante don Luis-pinturas apeadas, 1772, nº 335; Real Academia de Nobles Artes de San Fernando, 1827)",Lienzo
2581,P001718,El Amor dormido,1636 - 1638,"Quellinus, Erasmus",Óleo,81,98,"Colección Real (Torre de la Parada, El Pardo-Madrid, Quarta pieza, 1700, s.n; Torre de la Parada, Pieza Sexta, 1747, nº81; Torre de la Parada, Sala sexta, 1794, s.n.; [¿] Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Depósito Grande EScuela Flamenca Depósito Entresuelo, 1834, nº561[?])",Lienzo
2582,P001733,Origen y dignidad de la caza,1636 - 1638,"Snayers, Peter",Óleo,195,302,"Colección Real (Torre de la Parada, El Pardo-Madrid, 1714; Palacio de El Pardo, Madrid, cuarto bajo, 1747, s.n.; Palacio del Buen Retiro, Madrid, 1794, nº 574; Palacio Real, Madrid, secretaría de Estado, 1814-1818, nº 574).",Lienzo
2583,P001736,pareja,1636 - 1638,"Snayers, Peter",Óleo,180,149,"Colección Real (Torre de la Parada, El Pardo-Madrid, 1714; Palacio de El Pardo, Madrid, pieza primera, 1746, s.n.; ¿Palacio Real Nuevo, Madrid, Furriera-puerta última que da al patio, 1747, nº 553?; ¿Palacio del Buen Retiro, Madrid, pieza segunda entablada, 1772, nº 553?; Buen Retiro, 1794, nº 588).",Lienzo
2584,P001737,Cacería de Felipe IV,1636 - 1638,"Snayers, Peter",Óleo,162,145,"Colección Real (¿Palacio Real Nuevo, Madrid, Furriera-puerta última que da al patio, 1747, nº 555?; ¿Palacio del Buen Retiro, Madrid, piezas que siguen al Casón, 1772, nº 555?; Buen Retiro, 1794, nº 421).",Lienzo
2585,P001844,Metamorfosis,1636 - 1638,"Snyders, Frans",Óleo,195,432,"Colección Real (Real Alcázar, Madrid, pinturas desmontadas-pinturas de la bóveda del tigre que se subieron al cuarto del príncipe, 1686, s.n.; Torre de la Parada, El Pardo-Madrid, cuarto bajo-pieza primera, 1703-1711, s.n.; Palacio Real Nuevo, Madrid, antecámara del infante don Gabriel, 1772, nº 986; Palacio Real Nuevo, Madrid, antecámara de las señoras infantas, 1794, nº 986; Palacio Real, Madrid, dormitorio de príncipes-habitación del infante don Carlos, 1814-1818, nº 986)",Lienzo
2586,P001845,Onomasticon,1636 - 1638,"Thulden, Theodoor van",Óleo,190,211,"Colección Real (Torre de la Parada, El Pardo-Madrid, Quarto bajo, Pieza segunda, 1701, s.n; Palacio Nuevo, Madrid, Paso del cuarto del infante Don Luis, 1772, 990; Palacio Nuevo, Antecámara, 1794, s.n.; Palacio Nuevo, Antecámara, 1814-1818, s.n.; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Depósito Grande Escuela Flamenca, 1834, nº990)",Lienzo
2587,P001860,Metamorfosis,1636 - 1638,"Vos, Cornelis de",Óleo,180,295,"Colección Real (Torre de la Parada, El Pardo-Madrid, Pieza segunda, 1701, s.n; Torre de la Parada, Pieza octava de la Reina, 1747, nº98; Palacio del Buen Retiro, Madrid, Sala de conversación, 1772, nº 998; Palacio del Buen Retiro, 1794, nº 244; Palacio Nuevo, Madrid, Secretaría de Estado, 1814-1818, nº 244; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Salón 2º Escuela Flamenca, 1834, 263)",Lienzo
2588,P001862,Teogonía,1636 - 1638,"Vos, Cornelis de",Óleo,187,208,"Colección Real (Torre de la Parada, El Pardo-Madrid, Pieza segunda, 1700, s.n.; Torre de la Parada, Torre de la Parada, Pieza octava de la Reina, 1747, nº95; Torre de la Parada, Sala Quarta, 1794, s.n.; Pinturas que posee la Real Academia de Bellas Artes de San Fernando, Madrid, 1796-1805, nº105; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Sala Reservada, 1834, nº29)",Lienzo
2589,P001865,Zorra corriendo,1636 - 1638,"Vos, Paul de",Óleo,84,81,"Colección Real (Torre de la Parada, El Pardo-Madrid, pieza octava, 1703-1711, s.n.; Palacio del Buen Retiro, Madrid, cuarto del infante don Luis, 1772, nº 1022; Palacio Real Nuevo, Madrid, pinturas descolgadas con cristal, 1794, s.n.; Palacio Real, Madrid, habitación del infante don Carlos-sexta pieza, 1814-1818, s.n.)",Lienzo
2590,P001867,Esnerie,1636 - 1638,"Vos, Paul de",Óleo,116,82,"Colección Real (Torre de La Parada, El Pardo-Madrid, 1700; Torre de la Parada, 1714; Palacio de El Pardo, Madrid, pieza séptima, 1747, s.n.)",Lienzo
2591,P001868,Fábula del león y el ratón,1636 - 1638,"Vos, Paul de",Óleo,115,83,"Colección Real (Torre de La Parada, 1714; Palacio de El Pardo, Madrid, pieza decimoquinta de torre o dormitorio de la infanta María Teresa, 1747, nº 145).",Lienzo
2592,P001871,sobrepuertas,1636 - 1638,"Vos, Paul de",Óleo,116,84,"Colección Real (Torre de la Parada, El Pardo-Madrid, 1714; Palacio de El Pardo, Madrid, pieza séptima, 1747, s.n.; El Pardo, 1794; La Zarzuela, 1817).",Lienzo
2593,P001872,Toro rendido por perros,1636 - 1638,"Vos, Paul de",Óleo,157,200,"Colección Real (Palacio de la Zarzuela, El Pardo-Madrid, sala primera, 1701, s.n.; La Zarzuela, pieza tercera, 1747, nº 22).",Lienzo
2594,P001875,Fábula del perro y la presa,1636 - 1638,"Vos, Paul de",Óleo,207,209,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, nº 565; Buen Retiro, pinturas tambien señaladas con la letra P en diferentes piezas de palacio, 1772, nº 568; Buen Retiro, 1794, nº 465).",Lienzo
2595,P001876,sobrepuertas,1636 - 1638,"Vos, Paul de",Óleo,105,105,"Colección Real (Torre de la Parada, El Pardo-Madrid, 1703; Palacio del Buen Retiro, Madrid, cuarto del infante don Luis, 1772, nº 1026; Buen Retiro, 1794, nº 1144).",Lienzo
2596,P001971,Metamorfosis,1636 - 1638,"Symons, Peeter",Óleo,174,204,"Colección Real (Torre de la Parada, El Pardo-Madrid, cuarto bajo-pieza tercera, 1703-1711, s.n.)",Lienzo
2597,P002064,paisajes con anacoretas,1636 - 1638,"Swanevelt, Herman van",Óleo,158,234,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 172]; Palacio Real, Madrid, estudio de Andrés de la Calleja, 1772, nº 172; Buen Retiro, 1794, nº 126).",Lienzo
2598,P000237,Entrada triunfal de Constantino en Roma,1636 - 1638,"Codazzi, Viviano",Óleo,155,363,Colección Real,Lienzo
2599,P000238,Entrada triunfal de Vespasiano en Roma,1636 - 1638,"Codazzi, Viviano",Óleo,155,355,Colección Real,Lienzo
2600,P001749,La caza del jabalí,1636 - 1638,"Snyders, Frans",Óleo,109,192,Colección Real,Lienzo
2601,P001734,Origen y dignidad de la caza,1636 - 1638,"Snayers, Peter",Óleo,181,576,"Colección Real (Torre de la Parada, El Pardo-Madrid, Quarto Bajo pieza tercera, 1700, s.n; Palacio de El Pardo, Madrid, Trigesima quarta, nº250; Palacio del Buen Retiro, Madrid, Salón de Coloma, 1772, nº 946; Palacio del Buen Retiro, 1794, nº 548; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Salón 1º Escuela Holandesa, 1834, nº31)",Lienzo
2602,P001762,Jabalí acosado,1636 - 1639,"Snyders, Frans",Óleo,79,145,"Colección Real (Torre de la Parada, El Pardo-Madrid; Palacio Real Nuevo, Madrid, paso de tribuna y trascuartos, 1772, nº 18; Palacio Real Nuevo, Madrid, cuarto de la serenísima infanta-dormitorio, 1794, nº 18).",Lienzo
2603,P001861,Metamorfosis,1636 - 1639,"Vos, Cornelis de",Óleo,188,265,"Colección Real (Torre de la Parada, El Pardo-Madrid, Pieza terzera galería del Rey, 1747, nº43; Torre de la Parada, Sala Segunda, 1794, s.n.; Pinturas que posee la Real Academia de Bellas Artes de San Fernando, Madrid, 1796-1805, nº70; Real Academia de Bellas Artes de San Fernando, Sala Reservada, 1827, 70; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Salón 2º Escuela Flamenca, 1834, nº401)",Lienzo
2604,P000633,Pieza de las Furias,Hacia  1641,"Cano, Alonso",Óleo,165,227,"Colección Real (Real Alcázar, Madrid, pieza de las furias, 1700, s.n.; Real Alcázar, Madrid, bóvedas de palacio, 1734, nº 410; Buen Retiro, 1794, nº 630).",Lienzo
2605,P002093,Mesa,1636 - 1650,"Benedetti, Andries",Óleo,121,147,"Colección Real (¿Palacio Real, Madrid, cuarto del infante don Francisco-primera pieza, 1814-1818, s.n.?).",Lienzo
2606,P002978,Grupo de árboles,Después de  1636,Anónimo,Óleo,38,58,"Adquisición a Mª Antonia Peñalver Ladrón de Guevara, Segovia, 1952.",Lienzo
2607,P001111,La,1637,"Ribera, José de",Óleo,127,100,"Colección Real (Palacio Real Nuevo, Madrid, tercera pieza de la Furriera, 1747, nº 156; Palacio Real Nuevo, Madrid, sacristía de la real capilla, 1772, nº 156; Palacio Real Nuevo, Madrid, pieza de paso al dormitorio de la  serenísima infanta-pieza de retrete, 1794, nº 156; Palacio Real, Madrid, cuarto del infante don Francisco-segunda pieza, 1814-1818, nº 156).",Lienzo
2608,P001118,Génesis,1637,"Ribera, José de",Óleo,110,"291,5","Colección Real (Palacio Real Nuevo, Madrid, primera sala de la Furriera, 1747, nº 115; Palacio Real Nuevo, Madrid, cuarto del infante don Javier, 1772, nº 115; Palacio Real Nuevo, Madrid, pieza de trucos, 1794, nº 115; Palacio Real, Madrid, pieza de trucos, 1814-1818, nº 115; Real Academia de BBAA de San Fernando, Madrid, 1816-1827).",Lienzo
2609,P001788,Fiesta y comida de aldeanos,1637,"Teniers, David",Óleo,120,188,"Colección Real (¿Palacio Real, Madrid, primer gabinete entrando por la pieza de vestir, 1814-1818, nº 925?).",Lienzo
2610,P002555,La Anunciación,1637,"Pereda y Salgado, Antonio de",Óleo,134,77,"Madrid, Galería del infante D. Sebastián Gabriel de Borbón, hasta 1835; Madrid, Museo Nacional de la Trinidad, hasta 1861; devuelto al infante Sebastián Gabriel de Borbón, 1861; legado al Museo del Prado por Daniel Carballo y Prat, conde de Pradere, 1933.",Lienzo
2611,P002753,monochrome banketejs,1637,"Claesz., Pieter",Óleo,83,66,"Legado Pedro Fernández Durán y Bernaldo de Quirós, 1931",Lienzo
2612,P004916,Santa Ines,1637,"Carducho, Vicente",Óleo,213,126,"Madrid, Convento de la Encarnación, vulgo de Jesús de Medinaceli, de trinitarios descalzos; Museo de la Trinidad.",Lienzo
2613,P004917,Santa Catalina,1637,"Carducho, Vicente",Óleo,212,125,"Madrid, Convento de la Encarnación, vulgo de Jesús de Medinaceli, de trinitarios descalzos; Museo de la Trinidad.",Lienzo
2614,P002304,La caza de Meleagr,1637 - 1638,"Poussin, Nicolas",Óleo,155,234,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 146]; Palacio Real Nuevo, Madrid, estudio de Andrés de la Calleja, 1772, nº 146; Buen Retiro, 1794, nº 667).",Lienzo
2615,P002305,paisajes con anacoretas,1637 - 1638,"Dughet, Gaspard",Óleo,161,235,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 199]; Palacio Real Nuevo, Madrid, estudio de Andrés de la Calleja, 1772, nº 199; Buen Retiro, 1794, nº 128).",Lienzo
2616,P002316,Roma sotterranea,1637 - 1638,"Lemaire, Jean",Óleo,163,"241,5","Colección Real (Palacio del Buen Retiro, Madrid, 1701, nº 174; Palacio Real Nuevo, Madrid, estudio de Andrés de la Calleja, 1772, nº 174; Buen Retiro, 1794, nº 636).",Lienzo
2617,P000150,El amor desinteresado,1637 - 1638,"Reni, Guido",Óleo,101,88,"Colección Real (Real Alcázar, Madrid, cuarto bajo-pieza del despacho de verano, 1700, nº 281; Real Alcázar, Madrid, cuarto nuevo de la Reina, 1703, s. n.; ¿Palacio Real, Madrid, habitación del infante don Carlos-sexta pieza, 1814-1818, nº 993?).",Lienzo
2618,P001869,Cacería de corzos,1637 - 1640,"Vos, Paul de",Óleo,212,347,"Colección I Marqués de Leganés, regalada a Felipe IV; Colección Real (Castillo de Viñuelas, Madrid, Quarta pieza, 1794, nº 521)",Lienzo
2619,P001870,Ciervo acosado por una jauría de perros,1637 - 1640,"Vos, Paul de",Óleo,212,347,"Colección I Marqués de Leganés, regalada a Felipe IV; Colección Real (Castillo de Viñuelas, Madrid, Septima pieza, 1794, [s.n.])",Lienzo
2620,P001990,vanitas,1637 - 1642,Maestro S. B.,Óleo,78,151,Colección Real,Lienzo
2621,P000860,El Nacimiento de la Virgen,Hacia  1642,"Leonardo, Jusepe",Óleo,180,122,"Adquirido a Bernardo Hérnandez Callejo, 1864, con destino al Museo de la Trinidad",Lienzo
2622,P001481,"Beatriz van Hemmema, condesa de Oxford",1638,"Dyck, Anton van",Óleo,107,86,"Colección Real (colección Felipe V, Quinta del duque del Arco, El Pardo-Madrid, novena pieza que es de salón, 1745, ¿nº 256?; Quinta del duque del Arco, pieza octava de salón, 1794, nº 205)",Lienzo
2623,P001853,Festón de frutas y verduras,1638,"Utrecht, Adriaen van",Óleo,186,60,Colección Real,Lienzo
2624,P002126,interiores campesinos,1638,"Ostade, Adriaen van",Óleo,"19,5",39,"Colección Real (colección Isabel Farnesio, Palacio de La Granja de San Ildefonso, Segovia, 1746, nº 1091; La Granja, Casa de Alhajas-otra pieza, 1766, nº 1091; Casa de Campo de San Lorenzo, El Escorial-Madrid, pieza  del canapé; 1794, nº 1091; Palacio de Aranjuez, Madrid, cuarta pieza del cuarto del príncipe, 1818, nº 520).",Tabla
2625,P002506,"Pintura Barroca Española, ",1638,"Ribera, José de",Óleo,76,62,"León Adolfo Laffitte Maurin (1809-1876); por herencia a Xavier Laffitte y Charlesteguy; donado por éste al Museo del Prado, 1930",Lienzo
2626,P002806,El milagro del pozo,1638,"Cano, Alonso",Óleo,216,149,"Iglesia de La Almudena, Madrid; convento de las Bernardas del Sacramento, Madrid. Ingresó en el Museo en 1941.",Lienzo
2627,P006074,"Del Greco a Goya. Obras maestras del Museo del Prado, ",1638,"Zurbarán, Francisco de",Óleo,100,72,"Adquirido para el Museo del Prado, 1980",Lienzo
2628,P000324,"Roma. Naturaleza e ideal,",1638 - 1639,"Rosa, Salvator",Óleo,170,260,"Colección Real (Palacio del Buen Retiro, Madrid, 1701-1703, nº 180; Buen Retiro, 1794, nº 47).",Lienzo
2629,P008231,"Memoria de Actividades 2016,",Hacia  1643,"Zurbarán, Juan de",Óleo,73,103,"Adquirido por el Estado en Christie´s Ibérica, Madrid, con destino al Museo del Prado, 2016",Lienzo
2630,P008370,San José con el Niño,1638 - 1651,"Cano, Alonso",Óleo,"105,3","45,5","Adquirido por venta directa a cargo de los presupuestos del Museo del Prado, 2021",Lienzo
2631,P001073,San Pedro libertado por un ángel,1639,"Ribera, José de",Óleo,177,232,"Jerónimo de la Torre, Madrid, 1658; Francisca de la Torre, Madrid, 1694; vendido en Madrid, 1718; Colección Real (colección Isabel de Farnesio, Palacio de La Granja de San Ildefonso, Segovia, 1746, nº 1038; La Granja, pieza décima grande, 1766, nº 1038; Palacio de Aranjuez, Madrid, pieza en que el Rey duerme la siesta, 1794, nº 1038; Aranjuez, despacho y dormitorio del rey, 1818, nº 1038).",Lienzo
2632,P001101,La leyenda dorada,1639,"Ribera, José de",Óleo,234,234,"Colección Real (Real Alcázar, Madrid, pieza primera del cuarto bajo, 1666; Palacio del Buen Retiro, Madrid, pinturas recogidas de las Casas Arzobispales, 1747, nº 808; Palacio Real Nuevo, Madrid, pieza de vestir [2ª], 1794, nº 808; Palacio Real, Madrid, [1ª] pieza de vestir, 1814-1818, s.n.).",Lienzo
2633,P001117,El sueño de Jacob,1639,"Ribera, José de",Óleo,179,233,"Colección Real (colección Jerónimo de la Torre, Madrid, 1658; colección Francisca de la Torre, Madrid, 1694; vendido en Madrid, 1718; colección Isabel de Farnesio, Palacio de La Granja de San Ildefonso, Segovia, 1746, nº 1039; La Granja, pieza décima grande, 1766, nº 1039; Palacio de Aranjuez, Madrid, pieza en que el Rey duerme la siesta, 1794, nº 1039; Aranjuez, despacho y dormitorio del rey, 1818, nº 1039).",Lienzo
2634,P001472,El cardenal-infante Fernando de Austria,1639,"Crayer, Gaspar de",Óleo,219,125,"Colección Real; Enviada a Felipe IV por el Cardenal-Infante en el verano de 1639; (Palacio Real Nuevo, Madrid, pieza interior triangulada, 1747, nº 496; Palacio del Buen Retiro, Madrid, galería del mediodía, 1772, nº 496; Buen Retiro, 1794, nº 854).",Lienzo
2635,P001796,Fumadores,1639,"Teniers, David",Óleo,40,62,"Colección Real (colección Isabel Farnesio, Palacio de La Granja de San Ildefonso, Segovia, pieza donde está la cama de repuesto, 1746, nº 60; llevado a Madrid en 1759; Palacio de Buenavista, Madrid, 1766, nº 60; Palacio Real Nuevo, Madrid, gabinete colgado de verde, 1772, nº 60; Palacio Real Nuevo, 1794, s. n.; ¿Palacio Real, Madrid, piezas de entresuelo encima del callejón de tribunas, 1814-1818, s.n.?).",Tabla
2636,P001665,Diana y sus ninfas sorprendidas por sátiros,1639 - 1640,"Rubens, Pedro Pablo",Óleo,"129,5","315,2","Colección Real (Real Alcázar, Madrid, Pieza larga, 1666, s.n.; Real Alcázar, Pieza larga de las bóvedas, 1686, s.n.; Real Alcázar, Pieza larga de las bobedas, 1701-1703, nº 365; Real Alcázar, Pinturas que estan en las Bóbedas de Palacio, 1734, nº267; Palacio Nuevo, Pinturas existentes antiguas Primera sala de la furriera, 1747, nº137; Palacio del Buen Retiro, Madrid, Piezas que siguen al casón, 1772, nº137; Palacio del Buen Retiro, 1794, nº497; Real Academia de Bellas Artes de San Fernando, Madrid, Pinturas que posee la Academia de Bellas Artes de San Fernando, Madrid, 1796-1805, nº87; Real Academia de Bellas Artes de San Fernando, Sala Reservada, 1827, nº87; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Sala Reservada, 1834, nº55)",Lienzo
2637,P001711,Hércules matando al dragón del jardín de las Hespérides,1639 - 1640,"Rubens, Pedro Pablo",Óleo,"64,3","103,5","Colección Real (¿Palacio del Buen Retiro, Madrid, pieza de consultas, 1772, nº 372?; Buen Retiro, 1794, nº 161; Palacio Real, Madrid, cuarto del capitán de guardias, 1814-1818, nº 161).",Lienzo
2638,P002253,Descanso en la Huida a Egipto,1639 - 1640,"Lorena, Claudio de",Óleo,209,138,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 164]; Palacio Real Nuevo, Madrid, 1772; Buen Retiro, 1794, nº 474; Palacio Real, Madrid, secretaría de Estado, 1814-1818, nº 474).",Lienzo
2639,P002255,Libro de Tobías,1639 - 1640,"Lorena, Claudio de",Óleo,211,145,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 166]; Palacio Real Nuevo, Madrid, estudio de Andrés de la Calleja, 1772, nº 166; Buen Retiro, 1794, nº 1058).",Lienzo
2640,P002871,Fernando IV de Hungría,1639 - 1640,"Luycks, Frans",Óleo,164,118,"Colección Real (¿Palacio del Buen Retiro, Madrid, cuarto de las infantas, 1772, nº 660?; Buen Retiro, 1794, nº 765).",Lienzo
2641,P005582,Carlos V y Felipe II,1639 - 1640,"Arias Fernández, Antonio",Óleo,"160,5","214,5","Colección Real (Real Alcázar, Madrid, salón dorado, 1700, s.n.; Palacio Real Nuevo, Madrid, tercera pieza de la Furriera, 1747, nº 177; Palacio del Buen Retiro, Madrid, pieza de la Librería, 1772, nº 177; Buen Retiro, 1794, nº 65).",Lienzo
2642,P007680,Mariana de Austria,1639 - 1640,"Luycks, Frans",Óleo,158,120,"Colección Real (¿Palacio del Buen Retiro, Madrid, cuarto de las infantas, 1772, nº 627?).",Lienzo
2643,P001663,Perseo liberando a Andrómeda,1639 - 1641,"Rubens, Pedro Pablo",Óleo,223,163,"Colección Real (Real Alcázar, Madrid, Salón de los espejos cuarto principal, 1686, s.n.; Real Alcázar, Salón de los espejos-cuartos principales, 1701-1703, nº8; Real Alcázar, Pinturas que se llevaron a la casa donde vivio el Marqués de Bedmar, 1734, nº1077; Palacio Real del Buen Retiro, Madrid, Pinturas entregadas en dhas. Casas Arzobispales a don Santiago de Bonavia, 1747, nº1077; Palacio Nuevo, Madrid, Estudio de Andrés de la Calleja, 1772, nº1077; Palacio Nuevo, Casa de Rebeque, 1794, s.n.; Real Academia de Bellas Artes de San Fernando, Madrid, Pinturas que posee la Rea Academia de Bellas Artes de San Fernando, 1796-1805, nº56; Real Academia de Bellas Artes de San Fernando, Sala Reservada, 1827, nº55; Museo Real de Pinturas a la muerte de Fernando VII, Madrid, Sala Reservada, 1834, nº31)",Lienzo
2644,P002059,Vista de la cascada de Tívoli con pescadores,1639 - 1641,"Asselijn, Jan",Óleo,160,112,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, s.n.; Buen Retiro, 1794, nº 993).",Lienzo
2645,P002060,Hechos de los Apóstoles,1639 - 1641,"Both, Jan",Óleo,212,155,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 184]; Palacio Real Nuevo, Madrid, estudio de Andrés de la Calleja, 1772, nº 164; Buen Retiro, 1794, nº 424; Palacio Real, Madrid, secretaría de Estado, 1814-1818, nº 424).",Lienzo
2646,P002061,Moisés salvado de las aguas,1639 - 1641,"Both, Jan",Óleo,213,153,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [132]; Palacio Real Nuevo, Madrid, 1772, estudio de Andrés de la Calleja, nº 132; Buen Retiro, 1794, nº 668).",Lienzo
2647,P002066,"Pintura holandesa en el Museo Nacional del Prado. Catálogo razonado, ",1639 - 1641,"Both, Jan",Óleo,210,155,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 150]; Palacio Real, Madrid, estudio de Andrés de la Calleja, 1772, nº 150; Buen Retiro, 1794, nº 664; Palacio Real, Madrid, secretaría de Estado, 1814-1818, nº 664).",Lienzo
2648,P002068,Vista de Tívoli,1639 - 1641,Anónimo,Óleo,160,112,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 434]; Palacio Real Nuevo, Madrid, estudio de Andrés de la Calleja, 1772, nº 435; Buen Retiro, 1794, nº 992).",Lienzo
2649,P002140,"Ottro Pais del mismo tamaño y autor que el penúltimo. Con Vnos pescadores Una mujer y Un chiquillo corresponde a Río con familia de pescadores, atardecer",1639 - 1641,"Swanevelt, Herman van",Óleo,210,156,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 194]; Palacio Real Nuevo, Madrid, estudio de Andrés de la Calleja, 1772, nº 194; Buen Retiro, 1794, nº 1059; Palacio Real, Madrid, secretaría de Estado, 1814-1818, nº 1059).",Lienzo
2650,P002141,Paisaje con ermitaño predicando,1639 - 1641,"Swanevelt, Herman van",Óleo,210,156,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 196]; Palacio Real Nuevo, Madrid, estudio de Andrés de la Calleja, 1772, nº 196; Buen Retiro, 1794, nº 1062).",Lienzo
